店名,住所,電話番号,取扱品種
エリオアンティカフォルネリア,東京都千代田区一番町４－３６シルバーマンション桔梗１０３,335560672,P297:黒ラベル樽生２０Ｌ
鮨勝　一番町店,東京都千代田区一番町９－２０,332377456,P296:黒ラベル樽生１０Ｌ
トラットリア・ラ・テスタドゥー,東京都千代田区神田須田町　１丁目１３－８　加納ビル１Ｆ,352075267,0806:ヱビス樽生　１０Ｌ
四川豆花飯荘,東京都千代田区丸の内　１丁目５－１　新丸の内ビルディング　６Ｆ,332114000,0458:ヱビス樽生　２０Ｌ
オークウッドプレミア東京,東京都千代田区丸の内　１丁目８－２　オークウッドプレミア東京ＬＦ６Ｆ,366316800,0806:ヱビス樽生　１０Ｌ
月島もんじゃ たまとや　東京駅,東京都千代田区丸の内　１丁目９－１　グランスタ八重洲北エリアＢ１１１,362560059,P297:黒ラベル樽生２０Ｌ
やぶそば,東京都千代田区神田淡路町　２丁目１０,332510287,0458:ヱビス樽生　２０Ｌ
秋葉原　肉寿司,東京都千代田区神田練塀町３　富士ソフト秋葉原ビル　１Ｆ,8035180811,P297:黒ラベル樽生２０Ｌ
駒忠　和泉町店,東京都千代田区神田和泉町１－３－９　本間屋ビル　１Ｆ,338644578,P297:黒ラベル樽生２０Ｌ
やきとり　宮川　四ツ谷店,東京都千代田区六番町１５－２,332214833,P296:黒ラベル樽生１０Ｌ
